TOPIC	HIT_ID	WORKER_ID	DOC_ID	TRUTH	LABEL
20002	x0004	worker12	document23	-1	1
20002	x0004	worker12	document24	-1	1
20002	x0004	worker1	document21	-1	0
20002	x0004	worker1	document22	-1	0
20002	x0004	worker1	document23	-1	0
20002	x0004	worker1	document24	-1	0
20002	x0004	worker3	document21	-1	0
20002	x0004	worker3	document22	-1	0
20002	x0004	worker3	document23	-1	1
20002	x0004	worker3	document24	-1	1
20002	x0004	worker6	document21	-1	0
20002	x0004	worker6	document22	-1	1
20002	x0004	worker6	document23	-1	1
20002	x0004	worker6	document24	-1	1
20002	x0004	worker8	document21	-1	1
20002	x0004	worker8	document22	-1	1
20002	x0004	worker8	document23	-1	1
20002	x0004	worker8	document24	-1	1
20002	x0005	worker13	document25	-1	0
20002	x0005	worker13	document26	-1	0
20002	x0005	worker13	document27	1	1
20002	x0005	worker13	document28	-1	0
20002	x0005	worker13	document29	-1	0
20002	x0005	worker1	document25	-1	0
20002	x0005	worker1	document26	-1	1
20002	x0005	worker1	document27	1	1
20002	x0005	worker1	document28	-1	1
20002	x0005	worker1	document29	-1	1
20002	x0005	worker3	document25	-1	0
20002	x0005	worker3	document26	-1	1
20002	x0005	worker3	document27	1	1
20002	x0005	worker3	document28	-1	1
20002	x0005	worker3	document29	-1	1
20002	x0005	worker4	document27	1	0
20002	x0005	worker6	document25	-1	0
20002	x0005	worker6	document26	-1	1
20002	x0005	worker6	document27	1	0
20002	x0005	worker6	document28	-1	1
20002	x0005	worker6	document29	-1	1
20002	x0006	worker10	document30	-1	0
20002	x0006	worker10	document31	-1	1
20002	x0006	worker10	document32	-1	0
20002	x0006	worker10	document33	1	0
20002	x0006	worker10	document34	-1	1
20002	x0006	worker1	document30	-1	0
20002	x0006	worker1	document31	-1	1
20002	x0006	worker1	document32	-1	1
20002	x0006	worker1	document33	1	1
20002	x0006	worker1	document34	-1	1
20002	x0006	worker2	document30	-1	1
20002	x0006	worker2	document31	-1	1
20002	x0006	worker2	document33	1	0
20002	x0006	worker3	document30	-1	1
20002	x0006	worker3	document31	-1	0
20002	x0006	worker3	document33	1	1
20002	x0006	worker8	document30	-1	1
20002	x0006	worker8	document31	-1	1
20002	x0006	worker8	document32	-1	1
20002	x0006	worker8	document33	1	1
20002	x0006	worker8	document34	-1	1
20002	x0007	worker12	document35	-1	1
20002	x0007	worker12	document36	-1	1
20002	x0007	worker12	document38	-1	1
20002	x0007	worker12	document39	-1	1
20002	x0007	worker1	document35	-1	1
20002	x0007	worker1	document36	-1	0
20002	x0007	worker1	document37	1	1
20002	x0007	worker1	document38	-1	0
20002	x0007	worker1	document39	-1	1
20002	x0007	worker3	document35	-1	1
20002	x0007	worker3	document36	-1	1
20002	x0007	worker3	document38	-1	1
20002	x0007	worker3	document39	-1	1
20002	x0007	worker4	document35	-1	1
20002	x0007	worker4	document36	-1	1
20002	x0007	worker4	document38	-1	1
20002	x0007	worker4	document39	-1	1
20002	x0007	worker6	document35	-1	1
20002	x0007	worker6	document36	-1	1
20002	x0007	worker6	document38	-1	1
20002	x0007	worker6	document39	-1	1
20002	x0008	worker11	document40	-1	0
20002	x0008	worker11	document41	1	1
20002	x0008	worker11	document42	-1	0
20002	x0008	worker11	document43	-1	0
20002	x0008	worker11	document44	-1	0
20002	x0008	worker14	document40	-1	0
20002	x0008	worker14	document41	1	1
20002	x0008	worker14	document42	-1	0
20002	x0008	worker14	document43	-1	0
20002	x0008	worker14	document44	-1	0
20002	x0008	worker1	document40	-1	1
20002	x0008	worker1	document41	1	1
20002	x0008	worker1	document42	-1	0
20002	x0008	worker1	document43	-1	0
20002	x0008	worker1	document44	-1	0
20002	x0008	worker3	document40	-1	1
20002	x0008	worker3	document41	1	1
20002	x0008	worker3	document42	-1	1
20002	x0008	worker3	document43	-1	1
20002	x0008	worker3	document44	-1	1
20002	x0008	worker8	document40	-1	1
20002	x0008	worker8	document41	1	1
20002	x0008	worker8	document42	-1	1
20002	x0008	worker8	document43	-1	1
20002	x0008	worker8	document44	-1	1
20002	x0009	worker1	document45	-1	0
20002	x0009	worker1	document46	-1	0
20002	x0009	worker1	document47	-1	0
20002	x0009	worker1	document48	-1	0
20002	x0009	worker3	document45	-1	0
20002	x0009	worker3	document46	-1	0
20002	x0009	worker3	document47	-1	0
20002	x0009	worker3	document48	-1	1
20002	x0009	worker4	document45	-1	1
20002	x0009	worker4	document46	-1	1
20002	x0009	worker4	document47	-1	1
20002	x0009	worker4	document48	-1	1
20002	x0009	worker6	document45	-1	1
20002	x0009	worker6	document46	-1	0
20002	x0009	worker6	document47	-1	1
20002	x0009	worker6	document48	-1	1
20002	x0009	worker7	document45	-1	0
20002	x0009	worker7	document46	-1	0
20002	x0009	worker7	document47	-1	0
20002	x0009	worker7	document48	-1	0
20002	x0010	worker10	document49	-1	0
20002	x0010	worker10	document50	1	1
20002	x0010	worker10	document51	-1	0
20002	x0010	worker10	document52	-1	0
20002	x0010	worker10	document53	-1	0
20002	x0010	worker15	document49	-1	0
20002	x0010	worker15	document50	1	0
20002	x0010	worker15	document51	-1	0
20002	x0010	worker15	document52	-1	0
20002	x0010	worker15	document53	-1	0
20002	x0010	worker2	document49	-1	0
20002	x0010	worker2	document50	1	1
20002	x0010	worker2	document51	-1	0
20002	x0010	worker2	document52	-1	0
20002	x0010	worker2	document53	-1	0
20002	x0010	worker3	document49	-1	1
20002	x0010	worker3	document50	1	0
20002	x0010	worker3	document51	-1	1
20002	x0010	worker3	document52	-1	1
20002	x0010	worker3	document53	-1	1
20002	x0010	worker4	document49	-1	1
20002	x0010	worker4	document50	1	1
20002	x0010	worker4	document51	-1	1
20002	x0010	worker4	document52	-1	1
20002	x0011	worker16	document54	-1	1
20002	x0011	worker16	document55	-1	1
20002	x0011	worker16	document56	1	1
20002	x0011	worker16	document57	-1	1
20002	x0011	worker16	document58	-1	0
20002	x0011	worker1	document54	-1	1
20002	x0011	worker1	document55	-1	1
20002	x0011	worker1	document56	1	1
20002	x0011	worker1	document57	-1	1
20002	x0011	worker1	document58	-1	1
20002	x0011	worker2	document54	-1	0
20002	x0011	worker2	document55	-1	1
20002	x0011	worker2	document56	1	1
20002	x0011	worker2	document57	-1	0
20002	x0011	worker2	document58	-1	0
20002	x0011	worker3	document54	-1	0
20002	x0011	worker3	document55	-1	0
20002	x0011	worker3	document56	1	1
20002	x0011	worker3	document57	-1	0
20002	x0011	worker3	document58	-1	0
20002	x0011	worker6	document54	-1	0
20002	x0011	worker6	document55	-1	0
20002	x0011	worker6	document56	1	1
20002	x0011	worker6	document57	-1	1
20002	x0011	worker6	document58	-1	0
20002	x0012	worker1	document59	-1	1
20002	x0012	worker1	document60	-1	1
20002	x0012	worker1	document61	1	1
20002	x0012	worker1	document62	-1	1
20002	x0012	worker1	document63	-1	1
20002	x0012	worker2	document59	-1	0
20002	x0012	worker2	document60	-1	0
20002	x0012	worker2	document61	1	0
20002	x0012	worker2	document62	-1	0
20002	x0012	worker2	document63	-1	0
20002	x0012	worker3	document59	-1	0
20002	x0012	worker3	document60	-1	0
20002	x0012	worker3	document61	1	0
20002	x0012	worker3	document62	-1	0
20002	x0012	worker3	document63	-1	0
20002	x0012	worker6	document59	-1	0
20002	x0012	worker6	document60	-1	0
20002	x0012	worker6	document61	1	1
20002	x0012	worker6	document62	-1	0
20002	x0012	worker6	document63	-1	0
20002	x0012	worker7	document59	-1	0
20002	x0012	worker7	document60	-1	0
20002	x0012	worker7	document61	1	1
20002	x0012	worker7	document62	-1	0
20002	x0012	worker7	document63	-1	0
20002	x0013	worker13	document64	-1	0
20002	x0013	worker13	document65	1	1
20002	x0013	worker13	document66	-1	0
20002	x0013	worker13	document67	-1	0
20002	x0013	worker13	document68	-1	0
20002	x0013	worker1	document64	-1	0
20002	x0013	worker1	document65	1	1
20002	x0013	worker1	document66	-1	0
20002	x0013	worker1	document67	-1	0
20002	x0013	worker1	document68	-1	0
20002	x0013	worker3	document64	-1	0
20002	x0013	worker3	document65	1	1
20002	x0013	worker3	document66	-1	0
20002	x0013	worker3	document67	-1	0
20002	x0013	worker3	document68	-1	0
20002	x0013	worker4	document64	-1	1
20002	x0013	worker4	document65	1	1
20002	x0013	worker4	document66	-1	1
20002	x0013	worker4	document67	-1	1
20002	x0013	worker4	document68	-1	1
20002	x0013	worker6	document64	-1	0
20002	x0013	worker6	document65	1	0
20002	x0013	worker6	document66	-1	0
20002	x0013	worker6	document67	-1	0
20002	x0013	worker6	document68	-1	0
20002	x0014	worker14	document69	-1	0
20002	x0014	worker14	document70	-1	0
20002	x0014	worker14	document71	-1	0
20002	x0014	worker14	document72	-1	0
20002	x0014	worker17	document69	-1	0
20002	x0014	worker17	document70	-1	0
20002	x0014	worker17	document71	-1	0
20002	x0014	worker17	document72	-1	0
20002	x0014	worker18	document69	-1	0
20002	x0014	worker18	document70	-1	0
20002	x0014	worker18	document71	-1	0
20002	x0014	worker18	document72	-1	0
20002	x0014	worker3	document69	-1	1
20002	x0014	worker3	document70	-1	1
20002	x0014	worker3	document71	-1	1
20002	x0014	worker3	document72	-1	1
20002	x0014	worker6	document69	-1	1
20002	x0014	worker6	document70	-1	1
20002	x0014	worker6	document71	-1	1
20002	x0014	worker6	document72	-1	1
20002	x0015	worker12	document73	-1	0
20002	x0015	worker12	document74	-1	0
20002	x0015	worker12	document75	-1	0
20002	x0015	worker12	document76	-1	1
20002	x0015	worker12	document77	-1	0
20002	x0015	worker14	document73	-1	0
20002	x0015	worker14	document74	-1	0
20002	x0015	worker14	document75	-1	0
20002	x0015	worker14	document76	-1	1
20002	x0015	worker14	document77	-1	0
20002	x0015	worker1	document73	-1	0
20002	x0015	worker1	document74	-1	0
20002	x0015	worker1	document75	-1	1
20002	x0015	worker1	document76	-1	1
20002	x0015	worker1	document77	-1	0
20002	x0015	worker2	document73	-1	0
20002	x0015	worker2	document74	-1	0
20002	x0015	worker2	document75	-1	1
20002	x0015	worker2	document76	-1	1
20002	x0015	worker2	document77	-1	0
20002	x0015	worker3	document73	-1	1
20002	x0015	worker3	document74	-1	0
20002	x0015	worker3	document75	-1	0
20002	x0015	worker3	document76	-1	1
20002	x0015	worker3	document77	-1	0
20002	x0016	worker19	document78	-1	1
20002	x0016	worker19	document79	1	1
20002	x0016	worker19	document80	-1	1
20002	x0016	worker19	document81	-1	1
20002	x0016	worker19	document82	-1	1
20002	x0016	worker20	document78	-1	1
20002	x0016	worker20	document79	1	1
20002	x0016	worker20	document81	-1	0
20002	x0016	worker20	document82	-1	1
20002	x0016	worker3	document78	-1	0
20002	x0016	worker3	document79	1	1
20002	x0016	worker3	document81	-1	0
20002	x0016	worker3	document82	-1	0
20002	x0016	worker6	document78	-1	0
20002	x0016	worker6	document79	1	1
20002	x0016	worker6	document81	-1	0
20002	x0016	worker6	document82	-1	0
20002	x0016	worker7	document78	-1	0
20002	x0016	worker7	document79	1	1
20002	x0016	worker7	document80	-1	0
20002	x0016	worker7	document81	-1	0
20002	x0016	worker7	document82	-1	0
20002	x0017	worker1	document83	-1	0
20002	x0017	worker1	document84	1	1
20002	x0017	worker1	document85	-1	0
20002	x0017	worker1	document86	-1	0
20002	x0017	worker1	document87	-1	0
20002	x0017	worker21	document83	-1	1
20002	x0017	worker21	document84	1	1
20002	x0017	worker21	document85	-1	1
20002	x0017	worker21	document86	-1	1
20002	x0017	worker21	document87	-1	1
20002	x0017	worker22	document83	-1	1
20002	x0017	worker22	document84	1	0
20002	x0017	worker22	document86	-1	1
20002	x0017	worker22	document87	-1	1
20002	x0017	worker3	document83	-1	1
20002	x0017	worker3	document84	1	0
20002	x0017	worker3	document85	-1	0
20002	x0017	worker3	document86	-1	0
20002	x0017	worker3	document87	-1	1
20002	x0017	worker6	document83	-1	0
20002	x0017	worker6	document84	1	0
20002	x0017	worker6	document85	-1	0
20002	x0017	worker6	document86	-1	0
20002	x0017	worker6	document87	-1	0
20002	x0018	worker1	document88	-1	0
20002	x0018	worker1	document89	-1	0
20002	x0018	worker1	document90	1	1
20002	x0018	worker1	document91	-1	0
20002	x0018	worker1	document92	-1	0
20002	x0018	worker23	document88	-1	0
20002	x0018	worker23	document89	-1	0
20002	x0018	worker23	document90	1	0
20002	x0018	worker23	document91	-1	0
20002	x0018	worker23	document92	-1	0
20002	x0018	worker24	document88	-1	1
20002	x0018	worker24	document89	-1	1
20002	x0018	worker24	document90	1	1
20002	x0018	worker24	document91	-1	1
20002	x0018	worker24	document92	-1	1
20002	x0018	worker25	document88	-1	0
20002	x0018	worker25	document89	-1	0
20002	x0018	worker25	document90	1	0
20002	x0018	worker25	document91	-1	0
20002	x0018	worker25	document92	-1	0
20002	x0018	worker3	document88	-1	1
20002	x0018	worker3	document89	-1	1
20002	x0018	worker3	document90	1	1
20002	x0018	worker3	document91	-1	1
20002	x0018	worker3	document92	-1	1
20002	x0019	worker1	document93	-1	1
20002	x0019	worker1	document94	-1	1
20002	x0019	worker1	document95	-1	1
20002	x0019	worker1	document96	-1	0
20002	x0019	worker26	document93	-1	1
20002	x0019	worker26	document94	-1	1
20002	x0019	worker26	document95	-1	1
20002	x0019	worker26	document96	-1	0
20002	x0019	worker27	document93	-1	1
20002	x0019	worker27	document94	-1	1
20002	x0019	worker27	document95	-1	1
20002	x0019	worker27	document96	-1	0
20002	x0019	worker3	document93	-1	1
20002	x0019	worker3	document94	-1	1
20002	x0019	worker3	document95	-1	1
20002	x0019	worker3	document96	-1	0
20002	x0019	worker6	document93	-1	1
20002	x0019	worker6	document94	-1	1
20002	x0019	worker6	document95	-1	1
20002	x0019	worker6	document96	-1	1
20002	x0020	worker1	document97	-1	1
20002	x0020	worker1	document98	-1	1
20002	x0020	worker1	document99	-1	1
20002	x0020	worker3	document97	-1	1
20002	x0020	worker3	document99	-1	0
20002	x0020	worker4	document97	-1	1
20002	x0020	worker4	document99	-1	1
20002	x0020	worker6	document97	-1	1
20002	x0020	worker6	document99	-1	0
20002	x0020	worker7	document97	-1	1
20002	x0020	worker7	document99	-1	1
20004	x0000	worker100	document1598	-1	1
20004	x0000	worker100	document1599	-1	1
20004	x0000	worker100	document1600	-1	1
20004	x0000	worker100	document1601	1	0
20004	x0000	worker100	document1602	-1	0
20004	x0000	worker101	document1598	-1	1
20004	x0000	worker101	document1599	-1	1
20004	x0000	worker101	document1600	-1	1
20004	x0000	worker101	document1601	1	1
20004	x0000	worker101	document1602	-1	1
20004	x0000	worker102	document1598	-1	0
20004	x0000	worker102	document1599	-1	0
20004	x0000	worker102	document1600	-1	0
20004	x0000	worker102	document1601	1	0
20004	x0000	worker102	document1602	-1	0
20004	x0000	worker103	document1598	-1	1
20004	x0000	worker103	document1599	-1	0
20004	x0000	worker103	document1600	-1	1
20004	x0000	worker103	document1601	1	0
20004	x0000	worker103	document1602	-1	1
20004	x0000	worker10	document1598	-1	0
20004	x0000	worker10	document1599	-1	0
20004	x0000	worker10	document1600	-1	0
20004	x0000	worker10	document1601	1	1
20004	x0000	worker10	document1602	-1	0
20004	x0000	worker99	document1600	-1	0
20004	x0000	worker99	document1601	1	0
20004	x0001	worker100	document1603	-1	1
20004	x0001	worker100	document1604	-1	0
20004	x0001	worker100	document1605	-1	0
20004	x0001	worker100	document1606	-1	1
20004	x0001	worker100	document1607	-1	0
20004	x0001	worker101	document1603	-1	1
20004	x0001	worker101	document1604	-1	1
20004	x0001	worker101	document1605	-1	1
20004	x0001	worker101	document1606	-1	1
20004	x0001	worker101	document1607	-1	1
20004	x0001	worker102	document1603	-1	0
20004	x0001	worker102	document1604	-1	0
20004	x0001	worker102	document1605	-1	0
20004	x0001	worker102	document1606	-1	0
20004	x0001	worker102	document1607	-1	0
20004	x0001	worker104	document1603	-1	0
20004	x0001	worker104	document1604	-1	0
20004	x0001	worker104	document1605	-1	0
20004	x0001	worker104	document1606	-1	0
20004	x0001	worker104	document1607	-1	0
20004	x0001	worker105	document1603	-1	1
20004	x0001	worker105	document1604	-1	1
20004	x0001	worker105	document1606	-1	1
20004	x0001	worker105	document1607	-1	1
20004	x0001	worker28	document1603	-1	0
20004	x0001	worker28	document1604	-1	0
20004	x0001	worker28	document1605	-1	1
20004	x0001	worker28	document1606	-1	1
20004	x0001	worker28	document1607	-1	0
20004	x0002	worker102	document1608	-1	0
20004	x0002	worker102	document1609	-1	0
20004	x0002	worker102	document1610	1	0
20004	x0002	worker102	document1611	-1	0
20004	x0002	worker102	document1612	-1	0
20004	x0002	worker106	document1608	-1	1
20004	x0002	worker106	document1609	-1	1
20004	x0002	worker106	document1610	1	1
20004	x0002	worker106	document1611	-1	0
20004	x0002	worker106	document1612	-1	1
20004	x0002	worker107	document1608	-1	0
20004	x0002	worker107	document1609	-1	0
20004	x0002	worker107	document1610	1	1
20004	x0002	worker107	document1611	-1	0
20004	x0002	worker107	document1612	-1	1
20004	x0002	worker108	document1608	-1	1
20004	x0002	worker108	document1609	-1	1
20004	x0002	worker108	document1610	1	1
20004	x0002	worker108	document1611	-1	1
20004	x0002	worker108	document1612	-1	1
20004	x0002	worker32	document1608	-1	1
20004	x0002	worker32	document1609	-1	0
20004	x0002	worker32	document1610	1	1
20004	x0002	worker32	document1611	-1	0
20004	x0002	worker32	document1612	-1	1
20004	x0003	worker101	document1613	-1	1
20004	x0003	worker101	document1614	1	1
20004	x0003	worker101	document1615	-1	1
20004	x0003	worker101	document1616	-1	1
20004	x0003	worker101	document1617	-1	1
20004	x0003	worker102	document1613	-1	0
20004	x0003	worker102	document1614	1	0
20004	x0003	worker102	document1615	-1	0
20004	x0003	worker102	document1616	-1	0
20004	x0003	worker102	document1617	-1	0
20004	x0003	worker103	document1613	-1	1
20004	x0003	worker103	document1614	1	0
20004	x0003	worker103	document1615	-1	1
20004	x0003	worker103	document1616	-1	1
20004	x0003	worker103	document1617	-1	1
20004	x0003	worker109	document1613	-1	1
20004	x0003	worker109	document1614	1	1
20004	x0003	worker109	document1615	-1	1
20004	x0003	worker109	document1616	-1	1
20004	x0003	worker109	document1617	-1	1
20004	x0003	worker110	document1613	-1	1
20004	x0003	worker110	document1614	1	1
20004	x0003	worker110	document1615	-1	1
20004	x0003	worker110	document1616	-1	1
20004	x0003	worker110	document1617	-1	1
20004	x0003	worker111	document1613	-1	1
20004	x0003	worker111	document1614	1	1
20004	x0003	worker111	document1615	-1	1
20004	x0003	worker111	document1616	-1	1
20004	x0003	worker111	document1617	-1	0
20004	x0003	worker18	document1613	-1	0
20004	x0003	worker18	document1614	1	1
20004	x0003	worker18	document1615	-1	0
20004	x0003	worker18	document1616	-1	0
20004	x0003	worker18	document1617	-1	0
20004	x0004	worker102	document1618	-1	0
20004	x0004	worker102	document1619	-1	0
20004	x0004	worker102	document1620	1	0
20004	x0004	worker102	document1621	-1	0
20004	x0004	worker102	document1622	-1	0
20004	x0004	worker106	document1618	-1	1
20004	x0004	worker106	document1619	-1	1
20004	x0004	worker106	document1620	1	1
20004	x0004	worker106	document1621	-1	1
20004	x0004	worker106	document1622	-1	0
20004	x0004	worker108	document1618	-1	0
20004	x0004	worker108	document1619	-1	0
20004	x0004	worker108	document1620	1	0
20004	x0004	worker108	document1621	-1	0
20004	x0004	worker108	document1622	-1	0
20004	x0004	worker112	document1618	-1	1
20004	x0004	worker112	document1619	-1	1
20004	x0004	worker112	document1620	1	1
20004	x0004	worker112	document1621	-1	1
20004	x0004	worker25	document1618	-1	1
20004	x0004	worker25	document1619	-1	1
20004	x0004	worker25	document1620	1	1
20004	x0004	worker25	document1621	-1	1
20004	x0004	worker25	document1622	-1	0
20004	x0004	worker99	document1618	-1	0
20004	x0004	worker99	document1619	-1	1
20004	x0004	worker99	document1620	1	0
20004	x0004	worker99	document1621	-1	1
20004	x0004	worker99	document1622	-1	0
20004	x0005	worker100	document1623	-1	0
20004	x0005	worker100	document1624	1	0
20004	x0005	worker100	document1625	-1	1
20004	x0005	worker100	document1626	-1	1
20004	x0005	worker100	document1627	-1	0
20004	x0005	worker102	document1623	-1	0
20004	x0005	worker102	document1624	1	0
20004	x0005	worker102	document1625	-1	0
20004	x0005	worker102	document1626	-1	0
20004	x0005	worker102	document1627	-1	0
20004	x0005	worker106	document1623	-1	1
20004	x0005	worker106	document1624	1	1
20004	x0005	worker106	document1625	-1	1
20004	x0005	worker106	document1626	-1	1
20004	x0005	worker106	document1627	-1	0
20004	x0005	worker113	document1623	-1	0
20004	x0005	worker113	document1624	1	1
20004	x0005	worker113	document1625	-1	0
20004	x0005	worker113	document1626	-1	1
20004	x0005	worker114	document1623	-1	0
20004	x0005	worker114	document1624	1	1
20004	x0005	worker114	document1625	-1	0
20004	x0005	worker114	document1626	-1	1
20004	x0005	worker114	document1627	-1	0
20004	x0005	worker115	document1623	-1	0
20004	x0005	worker115	document1624	1	1
20004	x0005	worker115	document1625	-1	0
20004	x0005	worker115	document1626	-1	0
20004	x0005	worker115	document1627	-1	1
20004	x0006	worker100	document1628	-1	1
20004	x0006	worker100	document1629	-1	1
20004	x0006	worker100	document1630	-1	1
20004	x0006	worker100	document1631	-1	1
20004	x0006	worker102	document1628	-1	0
20004	x0006	worker102	document1629	-1	0
20004	x0006	worker102	document1630	-1	0
20004	x0006	worker102	document1631	-1	0
20004	x0006	worker113	document1629	-1	0
20004	x0006	worker113	document1630	-1	1
20004	x0006	worker113	document1631	-1	0
20004	x0006	worker116	document1628	-1	1
20004	x0006	worker116	document1629	-1	0
20004	x0006	worker116	document1630	-1	1
20004	x0006	worker116	document1631	-1	1
20004	x0006	worker117	document1628	-1	1
20004	x0006	worker117	document1629	-1	1
20004	x0006	worker117	document1630	-1	1
20004	x0006	worker117	document1631	-1	1
20004	x0007	worker101	document1632	-1	1
20004	x0007	worker101	document1633	-1	1
20004	x0007	worker101	document1634	-1	1
20004	x0007	worker101	document1635	-1	1
20004	x0007	worker101	document1636	-1	1
20004	x0007	worker102	document1632	-1	1
20004	x0007	worker102	document1633	-1	0
20004	x0007	worker102	document1634	-1	0
20004	x0007	worker102	document1635	-1	0
20004	x0007	worker102	document1636	-1	1
20004	x0007	worker113	document1632	-1	1
20004	x0007	worker113	document1633	-1	1
20004	x0007	worker113	document1634	-1	0
20004	x0007	worker113	document1635	-1	0
20004	x0007	worker118	document1632	-1	0
20004	x0007	worker118	document1633	-1	1
20004	x0007	worker118	document1634	-1	0
20004	x0007	worker118	document1635	-1	0
20004	x0007	worker118	document1636	-1	1
20004	x0007	worker119	document1632	-1	1
20004	x0007	worker119	document1633	-1	1
20004	x0007	worker119	document1634	-1	1
20004	x0007	worker119	document1635	-1	1
20004	x0007	worker119	document1636	-1	1
20004	x0008	worker102	document1637	-1	0
20004	x0008	worker102	document1638	-1	0
20004	x0008	worker102	document1639	-1	0
20004	x0008	worker102	document1640	-1	0
20004	x0008	worker102	document1641	-1	0
20004	x0008	worker108	document1637	-1	1
20004	x0008	worker108	document1638	-1	1
20004	x0008	worker108	document1639	-1	1
20004	x0008	worker108	document1640	-1	1
20004	x0008	worker108	document1641	-1	1
20004	x0008	worker115	document1637	-1	1
20004	x0008	worker115	document1638	-1	1
20004	x0008	worker115	document1639	-1	1
20004	x0008	worker115	document1640	-1	1
20004	x0008	worker115	document1641	-1	1
20004	x0008	worker25	document1637	-1	1
20004	x0008	worker25	document1638	-1	1
20004	x0008	worker25	document1639	-1	1
20004	x0008	worker25	document1640	-1	1
20004	x0008	worker25	document1641	-1	1
20004	x0008	worker32	document1637	-1	0
20004	x0008	worker32	document1638	-1	0
20004	x0008	worker32	document1639	-1	1
20004	x0008	worker32	document1640	-1	1
20004	x0008	worker32	document1641	-1	1
20004	x0009	worker101	document1642	-1	1
20004	x0009	worker101	document1643	-1	1
20004	x0009	worker101	document1644	-1	1
20004	x0009	worker101	document1645	1	1
20004	x0009	worker101	document1646	-1	1
20004	x0009	worker102	document1642	-1	0
20004	x0009	worker102	document1643	-1	0
20004	x0009	worker102	document1644	-1	0
20004	x0009	worker102	document1645	1	0
20004	x0009	worker102	document1646	-1	0
20004	x0009	worker120	document1642	-1	1
20004	x0009	worker120	document1643	-1	1
20004	x0009	worker120	document1644	-1	1
20004	x0009	worker120	document1645	1	1
